player,team,position,minutes,score,probability,decision,npga_p90,shots_p90,npxg_p90,touches_in_box_p90,key_passes_p90,pressures_p90
Denis Cheryshev,Valencia,Left Wing,528.0,0.15,0.0563,not recommended,0.6818,2.3864,0.2115,10.0568,0.5114,20.625
Alhassane Bangoura,Rayo Vallecano,Right Wing,835.0,0.1429,0.055,not recommended,0.1078,1.9401,0.073,9.2695,1.509,14.7665
Pablo Pérez Rodríguez,Sporting Gijón,Right Wing,784.0,0.1357,0.0521,not recommended,0.1148,2.0663,0.2009,10.9056,0.3444,19.4005
Zakaria Bakkali,Valencia,Left Wing,608.0,0.1286,0.0509,not recommended,0.5921,1.9243,0.0859,8.5855,1.3322,14.8026
Ángel Lafita Castillo,Getafe,Left Wing,1031.0,0.1214,0.0506,not recommended,0.4365,2.4442,0.1793,9.515,0.6111,17.4588
Santiago Mina Lorenzo,Valencia,Right Wing,1617.0,0.1143,0.0456,not recommended,0.2783,1.3358,0.1698,10.0742,0.5009,22.7087
Fayçal Fajr,RC Deportivo La Coruña,Right Wing,2934.0,0.1071,0.0455,not recommended,0.2454,1.3804,0.07,3.1595,1.5951,16.2883
Xabier Prieto Argarate,Real Sociedad,Right Wing,2452.0,0.1,0.0435,not recommended,0.1835,0.6607,0.0533,7.4144,1.1746,13.6542
Foued Kadir,Real Betis,Right Wing,486.0,0.0929,0.0397,not recommended,0.0,1.8519,0.0664,8.8889,1.2963,16.8519
David Zurutuza Veillet,Real Sociedad,Left Wing,1144.0,0.0857,0.0369,not recommended,0.3147,1.4948,0.1333,6.0577,0.7867,20.3759
Federico Nicolás Cartabia,RC Deportivo La Coruña,Right Wing,1390.0,0.0786,0.0368,not recommended,0.3885,3.3669,0.1411,6.8633,1.295,24.2158
Robert Ibáñez Castro,Granada,Right Wing,733.0,0.0714,0.036,not recommended,0.1228,1.2278,0.0708,10.8049,0.8595,16.3302
Alejandro Menéndez Díez,Sporting Gijón,Left Wing,1092.0,0.0643,0.035,not recommended,0.2473,1.4835,0.1019,4.1209,0.989,16.8132
Jonathan Rodríguez Menéndez,Sporting Gijón,Left Wing,2937.0,0.0571,0.0338,not recommended,0.3677,1.716,0.0748,5.0868,1.1032,14.1879
